昵称,Team Name,STEAMID,Rating,Color
kuu,脱裤子队,STEAM_1:0:94410862,8.41,#FF0000
ss,脱裤子队,STEAM_1:0:60535699,8.15,#FF0000
gus-qwq,脱裤子队,STEAM_1:0:228802929,9.15,#FF0000
FrozeEnd,涅普加班队,STEAM_1:0:1564639,8.53,#00FF00
Alergeorm,涅普加班队,STEAM_1:1:542743017,8.1,#00FF00
Physalis,涅普加班队,STEAM_1:0:48676452,7.79,#00FF00
桜小路ルナ,杨亦昊队,STEAM_1:1:180589953,8.07,#0000FF
Aisaka,杨亦昊队,STEAM_1:0:178321301,7.28,#0000FF
7864qaq,杨亦昊队,STEAM_1:1:195944203,7.99,#0000FF
咖喱,不对不对不队,STEAM_1:1:162974443,8.19,#FFFF00
ZERO TWO,不对不对不队,STEAM_1:0:226314540,7.19,#FFFF00
AEE,不对不对不队,STEAM_1:0:460753342,7.22,#FFFF00
树叶飘零,早点睡觉队,STEAM_1:1:776825234,7.06,#800080
赤慕华未央,早点睡觉队,STEAM_1:0:117649299,8.36,#800080
刘泓,早点睡觉队,STEAM_1:0:776785514,6.5,#800080
望 永远滴神,望仔派队,STEAM_1:1:92285080,7.12,#FFA500
仿生人,望仔派队,STEAM_1:1:200311916,7.49,#FFA500
Old Driver,望仔派队,STEAM_1:1:68800288,7.14,#FFA500
